"Plot Title:  16_12_2020"
"#","Date Time, GMT+00:00","Temp, °F (LGR S/N: 10570397, SEN S/N: 10570397)","RH, % (LGR S/N: 10570397, SEN S/N: 10570397)","Coupler Detached (LGR S/N: 10570397)","Coupler Attached (LGR S/N: 10570397)","Host Connected (LGR S/N: 10570397)","Stopped (LGR S/N: 10570397)","End Of File (LGR S/N: 10570397)"
274,12/16/20 07:03:29 pm,70.930,57.372,,,,,
275,12/16/20 07:03:30 pm,70.930,57.372,,,,,
276,12/16/20 07:03:31 pm,70.930,57.310,,,,,
277,12/16/20 07:03:32 pm,70.930,57.310,,,,,
278,12/16/20 07:03:33 pm,70.887,57.276,,,,,
279,12/16/20 07:03:34 pm,70.887,57.245,,,,,
280,12/16/20 07:03:35 pm,70.887,57.214,,,,,
281,12/16/20 07:03:36 pm,70.887,57.183,,,,,
282,12/16/20 07:03:37 pm,70.887,57.183,,,,,
283,12/16/20 07:03:38 pm,70.887,57.153,,,,,
284,12/16/20 07:03:39 pm,70.887,57.122,,,,,
285,12/16/20 07:03:40 pm,70.887,57.122,,,,,
286,12/16/20 07:03:41 pm,70.887,57.091,,,,,
287,12/16/20 07:03:42 pm,70.846,57.087,,,,,
288,12/16/20 07:03:43 pm,70.846,57.087,,,,,
289,12/16/20 07:03:44 pm,70.846,57.057,,,,,
290,12/16/20 07:03:45 pm,70.846,57.026,,,,,
291,12/16/20 07:03:46 pm,70.846,57.026,,,,,
292,12/16/20 07:03:47 pm,70.846,56.995,,,,,
293,12/16/20 07:03:48 pm,70.803,56.991,,,,,
294,12/16/20 07:03:49 pm,70.803,56.960,,,,,
295,12/16/20 07:03:50 pm,70.803,56.960,,,,,
296,12/16/20 07:03:51 pm,70.803,56.930,,,,,
297,12/16/20 07:03:52 pm,70.803,56.930,,,,,
298,12/16/20 07:03:53 pm,70.803,56.899,,,,,
299,12/16/20 07:03:54 pm,70.803,56.868,,,,,
300,12/16/20 07:03:55 pm,70.803,56.837,,,,,
301,12/16/20 07:03:56 pm,70.803,56.837,,,,,
302,12/16/20 07:03:57 pm,70.759,56.803,,,,,
303,12/16/20 07:03:58 pm,70.759,56.772,,,,,
304,12/16/20 07:03:59 pm,70.759,56.772,,,,,
305,12/16/20 07:04:00 pm,70.759,56.772,,,,,
306,12/16/20 07:04:01 pm,70.759,56.741,,,,,
307,12/16/20 07:04:02 pm,70.716,56.707,,,,,
308,12/16/20 07:04:03 pm,70.716,56.707,,,,,
309,12/16/20 07:04:04 pm,70.716,56.676,,,,,
310,12/16/20 07:04:05 pm,70.716,56.676,,,,,
311,12/16/20 07:04:06 pm,70.716,56.676,,,,,
312,12/16/20 07:04:07 pm,70.716,56.676,,,,,
313,12/16/20 07:04:08 pm,70.673,56.703,,,,,
314,12/16/20 07:04:09 pm,70.673,56.703,,,,,
315,12/16/20 07:04:10 pm,70.673,56.703,,,,,
316,12/16/20 07:04:11 pm,70.673,56.672,,,,,
317,12/16/20 07:04:12 pm,70.630,56.669,,,,,
318,12/16/20 07:04:13 pm,70.630,56.669,,,,,
319,12/16/20 07:04:14 pm,70.630,56.669,,,,,
320,12/16/20 07:04:15 pm,70.630,56.669,,,,,
321,12/16/20 07:04:16 pm,70.630,56.669,,,,,
322,12/16/20 07:04:17 pm,70.630,56.669,,,,,
323,12/16/20 07:04:18 pm,70.630,56.699,,,,,
324,12/16/20 07:04:19 pm,70.630,56.669,,,,,
325,12/16/20 07:04:20 pm,70.587,56.665,,,,,
326,12/16/20 07:04:21 pm,70.587,56.665,,,,,
327,12/16/20 07:04:22 pm,70.587,56.665,,,,,
328,12/16/20 07:04:23 pm,70.543,56.692,,,,,
329,12/16/20 07:04:24 pm,70.543,56.692,,,,,
330,12/16/20 07:04:25 pm,70.543,56.723,,,,,
331,12/16/20 07:04:26 pm,70.543,56.692,,,,,
332,12/16/20 07:04:27 pm,70.543,56.754,,,,,
333,12/16/20 07:04:28 pm,70.543,56.785,,,,,
334,12/16/20 07:04:29 pm,70.502,56.781,,,,,
335,12/16/20 07:04:30 pm,70.502,56.812,,,,,
336,12/16/20 07:04:31 pm,70.502,56.812,,,,,
337,12/16/20 07:04:32 pm,70.502,56.812,,,,,
338,12/16/20 07:04:33 pm,70.502,56.843,,,,,
339,12/16/20 07:04:34 pm,70.459,56.839,,,,,
340,12/16/20 07:04:35 pm,70.459,56.870,,,,,
341,12/16/20 07:04:36 pm,70.459,56.870,,,,,
342,12/16/20 07:04:37 pm,70.459,56.870,,,,,
343,12/16/20 07:04:38 pm,70.459,56.839,,,,,
344,12/16/20 07:04:39 pm,70.459,56.870,,,,,
345,12/16/20 07:04:40 pm,70.416,56.867,,,,,
346,12/16/20 07:04:41 pm,70.416,56.867,,,,,
347,12/16/20 07:04:42 pm,70.416,56.867,,,,,
348,12/16/20 07:04:43 pm,70.372,56.863,,,,,
349,12/16/20 07:04:44 pm,70.372,56.863,,,,,
350,12/16/20 07:04:45 pm,70.372,56.863,,,,,
351,12/16/20 07:04:46 pm,70.372,56.863,,,,,
352,12/16/20 07:04:47 pm,70.372,56.894,,,,,
353,12/16/20 07:04:48 pm,70.372,56.894,,,,,
354,12/16/20 07:04:49 pm,70.372,56.894,,,,,
355,12/16/20 07:04:50 pm,70.372,56.955,,,,,
356,12/16/20 07:04:51 pm,70.329,56.983,,,,,
357,12/16/20 07:04:52 pm,70.329,56.983,,,,,
358,12/16/20 07:04:53 pm,70.329,57.013,,,,,
359,12/16/20 07:04:54 pm,70.329,57.044,,,,,
360,12/16/20 07:04:55 pm,70.329,57.106,,,,,
361,12/16/20 07:04:56 pm,70.329,57.136,,,,,
362,12/16/20 07:04:57 pm,70.329,57.198,,,,,
363,12/16/20 07:04:58 pm,70.286,57.225,,,,,
364,12/16/20 07:04:59 pm,70.286,57.287,,,,,
365,12/16/20 07:05:00 pm,70.286,57.348,,,,,
366,12/16/20 07:05:01 pm,70.286,57.410,,,,,
367,12/16/20 07:05:02 pm,70.286,57.533,,,,,
368,12/16/20 07:05:03 pm,70.286,57.686,,,,,
369,12/16/20 07:05:04 pm,70.329,57.874,,,,,
370,12/16/20 07:05:05 pm,70.329,58.058,,,,,
371,12/16/20 07:05:06 pm,70.329,58.181,,,,,
372,12/16/20 07:05:07 pm,70.329,58.334,,,,,
373,12/16/20 07:05:08 pm,70.329,58.426,,,,,
374,12/16/20 07:05:09 pm,70.329,58.518,,,,,
375,12/16/20 07:05:10 pm,70.329,58.610,,,,,
376,12/16/20 07:05:11 pm,70.372,58.644,,,,,
377,12/16/20 07:05:12 pm,70.372,58.706,,,,,
378,12/16/20 07:05:13 pm,70.372,58.706,,,,,
379,12/16/20 07:05:14 pm,70.372,58.706,,,,,
380,12/16/20 07:05:15 pm,70.372,58.675,,,,,
381,12/16/20 07:05:16 pm,70.372,58.614,,,,,
382,12/16/20 07:05:17 pm,70.372,58.583,,,,,
383,12/16/20 07:05:18 pm,70.372,58.522,,,,,
384,12/16/20 07:05:19 pm,70.372,58.461,,,,,
385,12/16/20 07:05:20 pm,70.372,58.461,,,,,
386,12/16/20 07:05:21 pm,70.372,58.369,,,,,
387,12/16/20 07:05:22 pm,70.372,58.338,,,,,
388,12/16/20 07:05:23 pm,70.372,58.307,,,,,
389,12/16/20 07:05:24 pm,70.372,58.246,,,,,
390,12/16/20 07:05:25 pm,70.372,58.215,,,,,
391,12/16/20 07:05:26 pm,70.372,58.154,,,,,
392,12/16/20 07:05:27 pm,70.372,58.123,,,,,
393,12/16/20 07:05:28 pm,70.372,58.093,,,,,
394,12/16/20 07:05:29 pm,70.372,58.031,,,,,
395,12/16/20 07:05:30 pm,70.372,58.001,,,,,
396,12/16/20 07:05:31 pm,70.372,57.970,,,,,
397,12/16/20 07:05:32 pm,70.372,57.939,,,,,
398,12/16/20 07:05:33 pm,70.372,57.909,,,,,
399,12/16/20 07:05:34 pm,70.372,57.847,,,,,
400,12/16/20 07:05:35 pm,70.372,57.816,,,,,
401,12/16/20 07:05:36 pm,70.372,57.786,,,,,
402,12/16/20 07:05:37 pm,70.372,57.755,,,,,
403,12/16/20 07:05:38 pm,70.372,57.724,,,,,
404,12/16/20 07:05:39 pm,70.372,57.694,,,,,
405,12/16/20 07:05:40 pm,70.372,57.663,,,,,
406,12/16/20 07:05:41 pm,70.372,57.663,,,,,
407,12/16/20 07:05:42 pm,70.372,57.632,,,,,
408,12/16/20 07:05:43 pm,70.372,57.632,,,,,
409,12/16/20 07:05:44 pm,70.372,57.601,,,,,
410,12/16/20 07:05:45 pm,70.372,57.601,,,,,
411,12/16/20 07:05:46 pm,70.372,57.540,,,,,
412,12/16/20 07:05:47 pm,70.372,57.540,,,,,
413,12/16/20 07:05:48 pm,70.372,57.540,,,,,
414,12/16/20 07:05:49 pm,70.372,57.509,,,,,
415,12/16/20 07:05:50 pm,70.372,57.478,,,,,
416,12/16/20 07:05:51 pm,70.372,57.478,,,,,
417,12/16/20 07:05:52 pm,70.372,57.448,,,,,
418,12/16/20 07:05:53 pm,70.372,57.448,,,,,
419,12/16/20 07:05:54 pm,70.372,57.417,,,,,
420,12/16/20 07:05:55 pm,70.372,57.417,,,,,
421,12/16/20 07:05:56 pm,70.372,57.355,,,,,
422,12/16/20 07:05:57 pm,70.372,57.355,,,,,
423,12/16/20 07:05:58 pm,70.372,57.355,,,,,
424,12/16/20 07:05:59 pm,70.372,57.325,,,,,
425,12/16/20 07:06:00 pm,70.372,57.325,,,,,
426,12/16/20 07:06:01 pm,70.372,57.294,,,,,
427,12/16/20 07:06:02 pm,70.329,57.290,,,,,
428,12/16/20 07:06:03 pm,70.372,57.263,,,,,
429,12/16/20 07:06:04 pm,70.329,57.260,,,,,
430,12/16/20 07:06:05 pm,70.329,57.260,,,,,
431,12/16/20 07:06:06 pm,70.329,57.290,,,,,
432,12/16/20 07:06:07 pm,70.329,57.260,,,,,
433,12/16/20 07:06:08 pm,70.329,57.290,,,,,
434,12/16/20 07:06:09 pm,70.329,57.260,,,,,
435,12/16/20 07:06:10 pm,70.329,57.260,,,,,
436,12/16/20 07:06:11 pm,70.329,57.260,,,,,
437,12/16/20 07:06:12 pm,70.329,57.229,,,,,
438,12/16/20 07:06:13 pm,70.329,57.260,,,,,
439,12/16/20 07:06:14 pm,70.329,57.229,,,,,
440,12/16/20 07:06:15 pm,70.329,57.260,,,,,
