"Plot Title:  10570397"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10570397, SEN S/N: 10570397)","RH, % (LGR S/N: 10570397, SEN S/N: 10570397)","DewPt, °C (LGR S/N: 10570397, SEN S/N: 10570397)","Coupler Detached (LGR S/N: 10570397)","Coupler Attached (LGR S/N: 10570397)","Host Connected (LGR S/N: 10570397)","Stopped (LGR S/N: 10570397)","End Of File (LGR S/N: 10570397)"
362,07/25/19 07:22:44 pm,29.340,44.381,16.313,,,,,
363,07/25/19 07:22:45 pm,29.340,44.447,16.336,,,,,
364,07/25/19 07:22:46 pm,29.340,44.447,16.336,,,,,
365,07/25/19 07:22:47 pm,29.340,44.513,16.359,,,,,
366,07/25/19 07:22:48 pm,29.340,44.545,16.371,,,,,
367,07/25/19 07:22:49 pm,29.340,44.611,16.394,,,,,
368,07/25/19 07:22:50 pm,29.340,44.644,16.405,,,,,
369,07/25/19 07:22:51 pm,29.340,44.644,16.405,,,,,
370,07/25/19 07:22:52 pm,29.315,44.674,16.393,,,,,
371,07/25/19 07:22:53 pm,29.315,44.706,16.405,,,,,
372,07/25/19 07:22:54 pm,29.315,44.706,16.405,,,,,
373,07/25/19 07:22:55 pm,29.315,44.772,16.428,,,,,
374,07/25/19 07:22:56 pm,29.315,44.838,16.451,,,,,
375,07/25/19 07:22:57 pm,29.315,44.838,16.451,,,,,
376,07/25/19 07:22:58 pm,29.315,44.838,16.451,,,,,
377,07/25/19 07:22:59 pm,29.315,44.838,16.451,,,,,
378,07/25/19 07:23:00 pm,29.315,44.838,16.451,,,,,
379,07/25/19 07:23:01 pm,29.315,44.838,16.451,,,,,
380,07/25/19 07:23:02 pm,29.315,44.805,16.439,,,,,
381,07/25/19 07:23:03 pm,29.290,44.835,16.427,,,,,
382,07/25/19 07:23:04 pm,29.290,44.835,16.427,,,,,
383,07/25/19 07:23:05 pm,29.290,44.802,16.416,,,,,
384,07/25/19 07:23:06 pm,29.290,44.769,16.404,,,,,
385,07/25/19 07:23:07 pm,29.290,44.769,16.404,,,,,
